p_physical,E_QEC_J,passive_wins
3.3917e-05,1.7413e-15,1
4.2516e-05,1.6349e-15,1
6.6347e-03,inf,1
4.3721e-05,1.6220e-15,1
3.8309e-05,1.6835e-15,1
2.3653e-05,1.9179e-15,1
1.6912e-03,1.4108e+63,1
3.7026e-04,7.9066e-16,1
7.0268e-04,1.3682e-15,1
6.0777e-05,1.4735e-15,1
1.3725e-03,6.1933e+09,1
1.5911e-03,2.6905e+41,1
4.1489e-05,1.6463e-15,1
1.4619e-05,2.1671e-15,1
3.5045e-04,8.0668e-16,1
3.1511e-05,1.7767e-15,1
2.6508e-03,inf,1
1.5790e-05,2.1261e-15,1
2.7682e-05,1.8398e-15,1
4.4262e-05,1.6163e-15,1
3.8281e-05,1.6839e-15,1
2.2510e-03,inf,1
6.2426e-04,8.9831e-16,1
4.0499e-03,inf,1
3.9187e-05,1.6729e-15,1
3.7101e-05,1.6987e-15,1
3.0735e-05,1.7887e-15,1
4.1949e-04,7.5916e-16,1
1.5128e-03,6.9987e+27,1
4.8021e-03,inf,1
5.0711e-03,inf,1
2.7351e-03,inf,1
6.6090e-03,inf,1
2.2341e-05,1.9467e-15,1
2.4400e-05,1.9024e-15,1
4.8142e-04,7.4068e-16,1
4.7522e-04,7.4118e-16,1
2.9080e-04,8.6595e-16,1
7.7917e-03,inf,1
2.6629e-04,8.9554e-16,1
2.5109e-05,1.8881e-15,1
2.3429e-04,9.3975e-16,1
3.9356e-04,7.7419e-16,1
3.0831e-05,1.7872e-15,1
1.4014e-03,8.3948e+12,1
9.4454e-03,inf,1
1.6276e-04,1.0720e-15,1
4.9151e-04,7.4064e-16,1
2.0715e-05,1.9851e-15,1
6.4794e-04,9.8636e-16,1
9.2110e-05,1.2963e-15,1
2.3653e-03,inf,1
2.1013e-04,9.7832e-16,1
1.7397e-04,1.0471e-15,1
5.0094e-05,1.5598e-15,1
3.8456e-04,7.8024e-16,1
9.9583e-04,2.4529e-12,1
2.8604e-05,1.8237e-15,1
2.4792e-04,9.2006e-16,1
1.7643e-03,3.1898e+82,1
8.5468e-03,inf,1
1.3720e-03,5.4420e+09,1
7.3377e-03,inf,1
2.2626e-04,9.5201e-16,1
1.0319e-05,2.3569e-15,1
2.5113e-05,1.8880e-15,1
5.1260e-03,inf,1
1.0346e-05,2.3554e-15,1
2.4816e-04,9.1973e-16,1
2.8226e-04,8.7588e-16,1
7.8722e-03,inf,1
1.2618e-03,1.4485e+00,1
3.2368e-04,8.3120e-16,1
3.4680e-03,inf,1
6.8891e-04,1.2391e-15,1
2.0551e-04,9.8628e-16,1
2.2478e-04,9.5434e-16,1
7.8115e-04,3.1940e-15,1
1.4918e-05,2.1563e-15,1
4.6935e-05,1.5894e-15,1
8.9277e-04,3.5858e-14,1
1.0450e-04,1.2447e-15,1
4.2993e-05,1.6297e-15,1
3.8923e-03,inf,1
4.2445e-05,1.6357e-15,1
2.0630e-04,9.8491e-16,1
1.9739e-03,1.2929e+157,1
2.1654e-05,1.9625e-15,1
1.3212e-04,1.1517e-15,1
7.4119e-05,1.3875e-15,1
7.7244e-03,inf,1
2.9514e-05,1.8084e-15,1
2.2036e-05,1.9537e-15,1
2.9836e-03,inf,1
1.4502e-05,2.1713e-15,1
9.0004e-03,inf,1
4.9540e-03,inf,1
1.0482e-05,2.3482e-15,1
2.4253e-05,1.9054e-15,1
2.0000e-04,9.9608e-16,1
5.2106e-04,7.4692e-16,1
4.7884e-04,7.4085e-16,1
6.6411e-03,inf,1
2.8846e-04,8.6863e-16,1
4.7804e-04,7.4091e-16,1
7.2200e-04,1.6075e-15,1
2.3732e-04,9.3526e-16,1
6.3349e-04,9.2891e-16,1
4.3073e-04,7.5382e-16,1
2.2788e-03,inf,1
3.9598e-05,1.6680e-15,1
3.7756e-05,1.6904e-15,1
8.5440e-04,1.2735e-14,1
1.4778e-05,2.1613e-15,1
6.3084e-03,inf,1
2.1538e-05,1.9652e-15,1
3.7558e-05,1.6929e-15,1
1.4429e-03,8.5186e+17,1
2.0478e-05,1.9910e-15,1
1.3570e-03,1.6636e+08,1
1.5975e-04,1.0790e-15,1
9.7844e-04,1.0108e-12,1
4.0098e-03,inf,1
4.1123e-04,7.6355e-16,1
1.9427e-03,1.0715e+144,1
6.4656e-04,9.8029e-16,1
2.1374e-04,9.7222e-16,1
1.9836e-03,2.2162e+161,1
9.1067e-03,inf,1
7.1648e-04,1.5309e-15,1
3.5730e-03,inf,1
8.0524e-04,4.6719e-15,1
6.0205e-03,inf,1
2.4778e-05,1.8947e-15,1
1.9420e-04,1.0067e-15,1
1.4412e-05,2.1747e-15,1
1.0359e-03,2.6038e-11,1
2.2303e-05,1.9476e-15,1
3.3690e-05,1.7445e-15,1
1.4903e-05,2.1568e-15,1
7.8943e-05,1.3607e-15,1
1.2084e-03,4.9396e-04,1
2.9557e-04,8.6058e-16,1
6.1669e-03,inf,1
2.3957e-05,1.9115e-15,1
1.3745e-05,2.2001e-15,1
1.5149e-05,2.1481e-15,1
2.1622e-03,7.7411e+252,1
8.0410e-04,4.5815e-15,1
2.5544e-05,1.8795e-15,1
1.7076e-05,2.0850e-15,1
1.7381e-05,2.0757e-15,1
1.3596e-04,1.1406e-15,1
4.3168e-05,1.6279e-15,1
4.3225e-04,7.5316e-16,1
1.5271e-03,1.3185e+30,1
3.8293e-05,1.6837e-15,1
1.5361e-05,2.1407e-15,1
5.5270e-04,7.6706e-16,1
6.1083e-03,inf,1
1.8451e-03,4.9268e+107,1
2.0303e-03,4.8666e+182,1
2.0979e-03,6.1432e+216,1
7.8384e-04,3.3219e-15,1
2.4913e-05,1.8920e-15,1
4.1304e-05,1.6483e-15,1
2.1747e-03,2.1216e+260,1
6.1391e-05,1.4691e-15,1
4.1093e-05,1.6507e-15,1
3.1563e-04,8.3922e-16,1
8.9597e-05,1.3077e-15,1
6.9368e-03,inf,1
4.4573e-05,1.6131e-15,1
1.5749e-03,2.5229e+38,1
1.4236e-04,1.1228e-15,1
7.2536e-05,1.3967e-15,1
6.3109e-03,inf,1
1.1028e-05,2.3201e-15,1
2.2858e-03,inf,1
3.2861e-05,1.7565e-15,1
1.7188e-04,1.0516e-15,1
8.9441e-04,3.7686e-14,1
9.9128e-03,inf,1
7.1703e-03,inf,1
2.0566e-03,3.2871e+195,1
2.4490e-04,9.2430e-16,1
4.9244e-03,inf,1
5.9681e-04,8.2924e-16,1
1.6218e-04,1.0733e-15,1
3.6471e-05,1.7067e-15,1
5.0379e-04,7.4200e-16,1
6.0648e-05,1.4744e-15,1
1.2838e-04,1.1629e-15,1
1.9274e-03,7.7852e+137,1
1.1477e-05,2.2981e-15,1
2.5891e-05,1.8728e-15,1
4.1276e-04,7.6270e-16,1
2.8587e-04,8.7163e-16,1
1.8323e-05,2.0482e-15,1
7.5734e-04,2.3307e-15,1
3.4236e-04,8.1375e-16,1
2.2345e-05,1.9466e-15,1
2.2484e-04,9.5424e-16,1
3.5201e-03,inf,1
7.0034e-03,inf,1
2.8804e-03,inf,1
9.7728e-03,inf,1
3.5981e-05,1.7132e-15,1
3.6146e-04,7.9755e-16,1
9.4740e-05,1.2847e-15,1
2.5709e-03,inf,1
2.7999e-05,1.8342e-15,1
2.8147e-05,1.8316e-15,1
1.0094e-04,1.2588e-15,1
4.2057e-04,7.5861e-16,1
5.5459e-04,7.6881e-16,1
9.0534e-05,1.3034e-15,1
4.3545e-05,1.6238e-15,1
3.6186e-03,inf,1
4.9445e-03,inf,1
6.9781e-04,1.3192e-15,1
9.8084e-05,1.2705e-15,1
4.6651e-04,7.4246e-16,1
5.2441e-04,7.4832e-16,1
3.8175e-04,7.8221e-16,1
6.8394e-04,1.1992e-15,1
1.2531e-04,1.1724e-15,1
2.8993e-04,8.6695e-16,1
2.0675e-05,1.9861e-15,1
2.1503e-04,9.7006e-16,1
1.0941e-04,1.2262e-15,1
1.3656e-04,1.1389e-15,1
1.0580e-05,2.3430e-15,1
2.3812e-05,1.9146e-15,1
8.7295e-03,inf,1
2.1196e-05,1.9734e-15,1
6.2694e-04,9.0676e-16,1
9.7341e-04,7.9364e-13,1
5.3494e-03,inf,1
1.5443e-05,2.1379e-15,1
1.3717e-05,2.2012e-15,1
4.1928e-03,inf,1
5.3556e-04,7.5416e-16,1
1.5770e-05,2.1268e-15,1
8.1324e-04,5.3819e-15,1
4.7003e-05,1.5887e-15,1
1.1823e-05,2.2818e-15,1
2.2634e-03,inf,1
2.4885e-04,9.1876e-16,1
4.0199e-03,inf,1
2.2869e-05,1.9349e-15,1
5.0298e-03,inf,1
5.9599e-03,inf,1
7.0357e-03,inf,1
2.0447e-05,1.9917e-15,1
2.7431e-05,1.8443e-15,1
4.7674e-04,7.4103e-16,1
3.8177e-04,7.8219e-16,1
5.6852e-03,inf,1
9.4911e-04,2.6886e-13,1
5.8575e-03,inf,1
1.8089e-03,7.6960e+95,1
4.5222e-05,1.6064e-15,1
4.3636e-05,1.6229e-15,1
1.1385e-04,1.2103e-15,1
1.6498e-05,2.1030e-15,1
2.5408e-05,1.8822e-15,1
3.3723e-03,inf,1
9.9507e-03,inf,1
1.3080e-04,1.1556e-15,1
1.9276e-04,1.0095e-15,1
1.7244e-05,2.0798e-15,1
4.7204e-03,inf,1
1.3424e-04,1.1455e-15,1
2.9216e-05,1.8134e-15,1
3.8608e-05,1.6799e-15,1
1.2333e-05,2.2587e-15,1
1.4202e-03,1.2832e+15,1
1.8112e-05,2.0543e-15,1
3.4138e-04,8.1462e-16,1
2.7961e-05,1.8349e-15,1
2.9810e-04,8.5777e-16,1
2.8011e-03,inf,1
6.9649e-05,1.4142e-15,1
1.0397e-05,2.3527e-15,1
2.7115e-03,inf,1
4.5182e-03,inf,1
9.3202e-03,inf,1
4.4523e-03,inf,1
3.4631e-04,8.1026e-16,1
5.3850e-05,1.5272e-15,1
1.1048e-05,2.3191e-15,1
3.5623e-03,inf,1
6.8088e-04,1.1761e-15,1
3.5097e-04,8.0623e-16,1
2.0714e-05,1.9851e-15,1
1.0871e-05,2.3280e-15,1
3.9883e-04,7.7085e-16,1
4.2422e-03,inf,1
1.7911e-05,2.0600e-15,1
4.4754e-05,1.6112e-15,1
1.0838e-03,8.4646e-10,1
3.2981e-05,1.7547e-15,1
2.1876e-05,1.9573e-15,1
4.8459e-03,inf,1
3.6753e-05,1.7031e-15,1
8.2329e-05,1.3430e-15,1
4.2753e-03,inf,1
3.6252e-03,inf,1
5.6167e-05,1.5084e-15,1
1.8942e-05,2.0310e-15,1
5.4606e-04,7.6145e-16,1
3.4502e-05,1.7331e-15,1
8.0021e-03,inf,1
2.4506e-03,inf,1
1.4375e-03,1.7714e+17,1
1.5106e-05,2.1496e-15,1
2.1619e-04,9.6815e-16,1
5.0757e-05,1.5538e-15,1
5.1888e-03,inf,1
4.6981e-03,inf,1
1.6324e-04,1.0709e-15,1
1.4921e-04,1.1049e-15,1
1.7225e-04,1.0508e-15,1
1.5074e-04,1.1010e-15,1
1.7438e-04,1.0463e-15,1
3.3842e-05,1.7423e-15,1
5.0542e-05,1.5557e-15,1
1.0599e-05,2.3420e-15,1
4.1473e-05,1.6464e-15,1
4.3448e-05,1.6249e-15,1
3.6846e-04,7.9204e-16,1
3.2106e-04,8.3378e-16,1
5.2753e-04,7.4976e-16,1
1.9163e-05,2.0251e-15,1
1.2397e-05,2.2559e-15,1
2.1935e-03,6.2003e+271,1
1.1468e-04,1.2074e-15,1
6.6214e-03,inf,1
7.8056e-03,inf,1
1.7636e-04,1.0421e-15,1
1.6853e-03,5.1941e+61,1
5.0470e-04,7.4217e-16,1
6.7246e-05,1.4293e-15,1
5.8426e-05,1.4909e-15,1
3.1691e-04,8.3793e-16,1
7.9220e-04,3.7720e-15,1
3.3748e-03,inf,1
2.7304e-05,1.8466e-15,1
4.1298e-04,7.6259e-16,1
1.7587e-05,2.0696e-15,1
3.7662e-05,1.6916e-15,1
9.2277e-03,inf,1
1.0388e-05,2.3532e-15,1
9.4758e-04,2.5230e-13,1
7.4597e-04,2.0439e-15,1
1.0910e-04,1.2274e-15,1
3.7771e-04,7.8511e-16,1
1.0672e-04,1.2362e-15,1
5.6401e-05,1.5066e-15,1
2.2783e-05,1.9368e-15,1
1.6223e-05,2.1119e-15,1
1.3335e-05,2.2164e-15,1
1.0621e-04,1.2382e-15,1
7.2315e-05,1.3980e-15,1
1.2623e-04,1.1695e-15,1
1.0521e-04,1.2420e-15,1
8.0314e-05,1.3534e-15,1
6.4159e-03,inf,1
6.2275e-04,8.9368e-16,1
8.9848e-04,4.2744e-14,1
7.1815e-04,1.5533e-15,1
1.3073e-03,4.9510e+03,1
3.8869e-03,inf,1
4.9766e-05,1.5627e-15,1
1.1383e-03,1.2360e-07,1
4.6061e-03,inf,1
1.4662e-05,2.1655e-15,1
4.9613e-05,1.5641e-15,1
2.1792e-05,1.9593e-15,1
3.4810e-03,inf,1
9.7726e-04,9.5458e-13,1
1.3523e-05,2.2088e-15,1
6.1567e-05,1.4678e-15,1
4.2901e-04,7.5459e-16,1
7.6442e-05,1.3743e-15,1
2.2928e-03,inf,1
1.0872e-05,2.3279e-15,1
3.9359e-04,7.7417e-16,1
4.4931e-03,inf,1
1.6644e-05,2.0984e-15,1
2.5401e-03,inf,1
2.1703e-05,1.9614e-15,1
2.8518e-04,8.7244e-16,1
9.4680e-05,1.2849e-15,1
2.4454e-03,inf,1
1.6440e-04,1.0682e-15,1
1.2091e-03,5.4370e-04,1
6.9589e-03,inf,1
3.9817e-04,7.7126e-16,1
1.1838e-05,2.2811e-15,1
7.6848e-03,inf,1
7.9351e-03,inf,1
1.5732e-05,2.1281e-15,1
2.8791e-05,1.8205e-15,1
1.0680e-05,2.3378e-15,1
5.1995e-03,inf,1
1.9471e-05,2.0169e-15,1
4.8590e-04,7.4054e-16,1
5.5590e-05,1.5130e-15,1
1.5017e-04,1.1024e-15,1
3.0576e-04,8.4948e-16,1
1.7934e-04,1.0359e-15,1
3.2138e-03,inf,1
1.4198e-03,1.1741e+15,1
3.8872e-03,inf,1
3.4013e-04,8.1574e-16,1
1.0735e-04,1.2338e-15,1
8.7262e-05,1.3187e-15,1
1.1106e-03,8.4968e-09,1
2.2946e-04,9.4707e-16,1
1.6480e-05,2.1036e-15,1
3.0446e-03,inf,1
3.7791e-03,inf,1
5.8032e-03,inf,1
1.0828e-03,7.8113e-10,1
6.9246e-03,inf,1
3.4932e-04,8.0765e-16,1
1.9733e-04,1.0009e-15,1
1.3527e-04,1.1425e-15,1
1.5150e-03,1.5404e+28,1
3.9586e-04,7.7272e-16,1
7.2237e-05,1.3985e-15,1
1.1914e-05,2.2776e-15,1
5.4318e-05,1.5233e-15,1
6.2360e-04,8.9627e-16,1
8.8332e-05,1.3136e-15,1
6.9902e-05,1.4126e-15,1
2.6362e-05,1.8639e-15,1
4.8382e-04,7.4058e-16,1
1.8353e-04,1.0274e-15,1
3.2361e-04,8.3127e-16,1
8.1490e-05,1.3473e-15,1
3.4810e-05,1.7289e-15,1
1.2056e-04,1.1876e-15,1
2.9455e-05,1.8094e-15,1
1.3933e-03,1.0395e+12,1
6.0812e-04,8.5415e-16,1
1.9304e-05,2.0213e-15,1
3.8287e-04,7.8142e-16,1
7.6803e-05,1.3723e-15,1
7.6965e-03,inf,1
2.8975e-04,8.6715e-16,1
6.5385e-03,inf,1
9.1443e-04,7.2133e-14,1
1.6486e-04,1.0672e-15,1
1.3122e-05,2.2251e-15,1
5.7265e-04,7.8925e-16,1
4.2323e-04,7.5730e-16,1
6.2491e-05,1.4613e-15,1
2.7847e-04,8.8041e-16,1
4.1293e-03,inf,1
1.4182e-04,1.1243e-15,1
7.7682e-03,inf,1
